tag	title	frequency
Ms	Ms.	bimonthly
Names	Names	quarterly
NAR	North American Review	bimonthly
NASSP-B	National Association of Secondary School Principals, Bulletin	9/year
Nat For	National Forum	quarterly
Nat Peop	Native Peoples	quarterly
Nat R	National Review	biweekly
Nature	Nature	weekly
NCR	National Civic Review	quarterly
Necro	Necrofile	quarterly
NEQ	New England Quarterly	quarterly
New Ad	New Advocate	quarterly
New ER	New England Review	quarterly
New R	New Republic	weekly
New Sci	New Scientist	weekly
NGSQ	National Genealogical Society Quarterly	quarterly
NH	Natural History	monthly
Nine-C Lit	Nineteenth-Century Literature	quarterly
NL	New Leader	biweekly
Notes	Notes (Music Library Association)	quarterly
NP	National Parks	bimonthly
NRJ	Natural Resources Journal	quarterly
NS	New Statesman	weekly
NW	Newsweek	weekly
NWCR	Naval War College Review	quarterly
NWSA Jnl	NWSA Journal	3/year
NY	New Yorker	weekly
NYRB	New York Review of Books	20/year
NYTBR	New York Times Book Review	weekly
NYTLa	New York Times (Late Ed.)	daily
Obs	Observer (London)	weekly
ON	Opera News	17/year
OOB	Off Our Backs	monthly
OS	Other Side	bimonthly
Pac A	Pacific Affairs	quarterly
Pac S	Pacific Studies	quarterly
PAJ	PAJ: A Journal of Performance and Art	3/year
Par	Parents Magazine	monthly
PAR	Public Administration Review	bimonthly
Parabola	Parabola	quarterly
Parameters	Parameters: US Army War College Quarterly	quarterly
Parnassus	Parnassus: Poetry in Review	semiannual
Per Psy	Personnel Psychology	quarterly
Pers PS	Perspectives on Political Science	quarterly
Pet PM	Petersen's Photographic Magazine	monthly
Phil Lit R	Philatelic LIterature Review	quarterly
Phil R	Philosophical Review	quarterly
PHR	Pacific Historical Review	quarterly
Phys Today	Physics Today	monthly
PIR	Philosophy in Review	6/year
PMS	Popular Music and Society	quarterly
Poet	Poetry	monthly
Poetics T	Poetics Today	quarterly
Pol Res Q	Political Research Quarterly	quarterly
Pol Stud J	Policy Studies Journal	quarterly
Post Script	Post Script: Essays in Film and the Humanities	3/year
PQ	Philological Quarterly	quarterly
Prog	Progressive	monthly
PS	Prairie Schooner	quarterly
PSM	Physician and Sportsmedicine	monthly
PSQ	Political Science Quarterly	quarterly
PSR	Political Science Reviewer	annual
Pub Hist	Public Historian	quarterly
Pub Int	Public Interest	quarterly
Pub Op Q	Public Opinion Quarterly	quarterly
PW	Publishers Weekly	weekly
QJS	Quarterly Journal of Speech	quarterly
Quad	Quadrant	10/year
Queens Q	Queen's Quarterly	quarterly
Quill & Q	Quill and Quire	monthly
RA	Reviews in Anthropology	quarterly
RAH	Reviews in American History	quarterly
Rapport	Rapport: the Modern Guide to Books, Musics, and More	quarterly
Readings	Readings: a Journal of Reviews and Commentary in Mental Health	quarterly
Reason	Reason	11/year
Ref Rev	Reference Reviews	monthly
Rel Ed	Religious Education	quarterly
Rel St	Religious Studies	quarterly
Rel St Rev	Religious Studies Review	quarterly
Ren Q	Renaissance Quarterly	quarterly
Ren & Ref	Renaissance and Reformation	quarterly
RES	Review of English Studies	quarterly
Res Links	Resource Links	5/year
Rettig	Rettig on Reference	monthly
River Rev	Riverbank Review	quarterly
RM	Review of Metaphysics	quarterly
RMR	Rocky Mountain Review	biannual
RocksMiner	Rocks and Minerals	bimonthly
RomRead	RomanceReader	none
Roundup M	Roundup Magazine	bimonthly
RP	Review of Politics	quarterly
Robotica	Robotica	bimonthly
R&R Bk N	Reference and Research Book News	quarterly
RR	Review for Religious	bimonthly
RSR	Reference Services Review	quarterly
RT	Reading Teacher	8/year
R&USQ	Reference and User Services Quarterly	quarterly
Russ Rev	Russian Review	quarterly
Salm	Salmagundi	quarterly
SAQ	South Atlantic Quarterly	quarterly
SB	Science Books and Films	bimonthly
Sch Lib	School Librarian	quarterly
Sci	Science	weekly
SciTech	SciTech Book News	quarterly
Sculpt R	Sculpture Review	quarterly
SDA	Studies in the Decorative Arts	semiannual
SE	Social Education	7/year
Sea H	Sea History	quarterly
SEP	Saturday Evening Post	bimonthly
Sev Cent N	Seventeenth-Century News	quarterly
Sew R	Sewanee Review	quarterly
SF	Social Forces	quarterly
SF Chr	Science Fiction Chronicle	bimonthly
SFS	Science Fiction Studies	3/year
Shakes Q	Shakespeare Quarterly	quarterly
Shen	Shenandoah	quarterly
SIAM Rev	SIAM Review	quarterly
Signs	Signs: Journal of Women in Culture and Society	quarterly
Si & So	Sight and Sound	monthly
Six Ct J	Sixteenth Century Journal	quarterly
Skeptic	Skeptic	quarterly
S Liv	Southern Living	monthly
SLJ	School Library Journal	monthly
Sm Pr R	Small Press Review	bimonthly
SN	Saturday Night	10/year
Soc	Society	bimonthly
Socio R	Sociological Review	quarterly
SocSciComR	Social Science Computer Review	quarterly
Soc Ser R	Social Service Review	quarterly
South CR	South Carolina Review	semiannual
South HR	Southern Humanities Review	quarterly
South R	Southern Review	quarterly
Spec	Spectator	weekly
Specu	Speculum	quarterly
S&S	Science and Society	quarterly
SS	Social Studies	bimonthly
SSF	Studies in Short Fiction	quarterly
SSQ	Social Science Quarterly	quarterly
S&T	Sky and Telescope	monthly
Sulfur	Sulfur	semiannual
Surface DJ	Surface Design Journal	quarterly
T&C	Technology and Culture	quarterly
TCMath	Teaching Children Mathematics	9/year
TCR	Teachers College Record	quarterly
TDR	TDR: The Drama Review	quarterly
Teach Lib	Teacher Librarian	bimonthly
Teach Mus	Teaching Music	bimonthly
TES	Times Educational Supplement	weekly
TESL-EJ	TESL-EJ	none
TES Prim	TES Primary	monthly
Theat J	Theatre Journal	quarterly
Theol St	Theological Studies	quarterly
Tikkun	Tikkun	bimonthly
Time	Time	weekly
TLS	Times Literary Supplement	weekly
TPR	Threepenny Review	quarterly
TranslRev	Translation Review	3/year
TranslRevS	Translation Review Supplement	2/year
Tric	Tricycle: the Buddhist Review	quarterly
TSWL	Tulsa Studies in Women's Literature	semiannual
TT	Theology Today	quarterly
TV Q	Television Quarterly	quarterly
Under Nat	Underwater Naturalist	quarterly
Univ Bkmn	University Bookman	quarterly
Utne R	Utne Reader	bimonthly
VOYA	Voice of Youth Advocates	bimonthly
VQR	Virginia Quarterly Review	quarterly
VS	Victorian Studies	quarterly
WAL	Western American Literature	quarterly
WER	Whole Earth Review	quarterly
WestFolk	Western Folklore	quarterly
WHQ	Western Historical Quarterly	quarterly
WHR	Western Humanities Review	quarterly
W&I	World & I	monthly
Wil Q	Wilson Quarterly	quarterly
WLT	World Literature Today	quarterly
W&M Q	William and Mary Quarterly	quarterly
Woman's J	Woman's Journal	monthly
Wom R Bks	Women's Review of Books	11/year
Workbook	Workbook	quarterly
WorldV	WorldViews: A Quarterly Review of Resources for Education and Action	quarterly
WoW	World of Work	5/year
WP	World Politics	quarterly
WSJ-Cent	Wall Street Journal (Central Ed.)	daily
Xcp	Xcp: Cross Cultural Poetics	2/year
Yacht	Yachting	monthly
YR	Yale Review	quarterly
Zygon	Zygon: Journal of Religion and Science	quarterly
